AB,AD,AN,AU,C1,C2,DA,DB,DO,DP,ET,ID,IS,KW,L1,LA,N1,PY,SE,SN,SP,ST,T2,TI,TY,UR,VL
"The timing of flowering initiation is a fundamental trait for the adaptation of annual plants to different environments. Large amounts of intraspecific quantitative variation have been described for it among natural accessions of many species, but the molecular and evolutionary mechanisms underlying this genetic variation are mainly being determined in the model plant Arabidopsis thaliana. To find novel A. thaliana flowering QTL, we developed introgression lines from the Japanese accession Fuk, which was selected based on the substantial transgression observed in an F(2) population with the reference strain Ler. Analysis of an early flowering line carrying a single Fuk introgression identified Flowering Arabidopsis QTL1 (FAQ1). We fine-mapped FAQ1 in an 11 kb genomic region containing the MADS transcription factor gene SHORT VEGETATIVE PHASE (SVP). Complementation of the early flowering phenotype of FAQ1-Fuk with a SVP-Ler transgen demonstrated that FAQ1 is SVP. We further proved by directed mutagenesis and transgenesis that a single amino acid substitution in SVP causes the loss-of-function and early flowering of Fuk allele. Analysis of a worldwide collection of accessions detected FAQ1/SVP-Fuk allele only in Asia, with the highest frequency appearing in Japan, where we could also detect a potential ancestral genotype of FAQ1/SVP-Fuk. In addition, we evaluated allelic and epistatic interactions of SVP natural alleles by analysing more than one hundred transgenic lines carrying Ler or Fuk SVP alleles in five genetic backgrounds. Quantitative analyses of these lines showed that FAQ1/SVP effects vary from large to small depending on the genetic background. These results support that the flowering repressor SVP has been recently selected in A. thaliana as a target for early flowering, and evidence the relevance of genetic interactions for the intraspecific evolution of FAQ1/SVP and flowering time.","Departamento de Genetica Molecular de Plantas, Centro Nacional de Biotecnologia, Consejo Superior de Investigaciones Cientificas, Madrid, Spain.",23382706,"Mendez-Vigo, B. | Martinez-Zapater, J. M. | Alonso-Blanco, C.",The authors have declared that no competing interests exist.,PMC3561112,,Medline,10.1371/journal.pgen.1003289,NLM,20130131,286,1,Alleles,internal-pdf://0846667123/Mendez-Vigo-2013.pdf,,"Mendez-Vigo, Belen",2013,,1553-7404 (Electronic),e1003289,The flowering repressor SVP underlies a novel Arabidopsis thaliana QTL interacting with the genetic background,PLoS Genet,The flowering repressor SVP underlies a novel Arabidopsis thaliana QTL interacting with the genetic background,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/23382706,9
"MADS-box transcription factors widely regulate all aspects of plant growth including development and reproduction. Although the MADS-box gene family genes have been extensively characterized in many plants, they have not been studied in closely related species. In this study, 73 and 74 MADS-box genes were identified in European pear (Pyrus communis) and Chinese pear (Pyrus bretschneideri), respectively. Based on the phylogenetic relationship, these genes could be clustered into five groups (Malpha, Mbeta, Mr, MIKC(C), MIKC*) and the MIKC(C) group was further categorized into 10 subfamilies. The distribution of MADS-box genes on each chromosome was significantly nonrandom. Thirty-seven orthologs, twenty-five PcpMADS (P. communis MADS-box) paralogs and nineteen PbrMADS (P. bretschneideri MADS-box) paralogs were predicted. Among these paralogous genes, two pairs arose from tandem duplications (TD), nineteen from segmental duplication (SD) events and twenty-three from whole genome duplication (WGD) events, indicating SD/WGD events led to the expansion of MADS-box gene family. The MADS-box genes expression profiles in pear fruits indicated functional divergence and neo-functionalization or sub-functionalization of some orthologous genes originated from a common ancestor. This study provided a useful reference for further analysis the mechanisms of species differentiation and biodiversity formation among closely related species.","College of Life Sciences, Anhui Agricultural University, Hefei, 230036, China.",30718750,"Meng, D. | Cao, Y. | Chen, T. | Abdullah, M. | Jin, Q. | Fan, H. | Lin, Y. | Cai, Y.",The authors declare no competing interests.,PMC6362034,Feb 4,Medline,10.1038/s41598-018-37897-6,NLM,20190204,245,1,"Evolution, Molecular",internal-pdf://1893244856/Meng-2019.pdf,,"Meng, Dandan",2019,,2045-2322 (Electronic),1266,Evolution and functional divergence of MADS-box genes in Pyrus,Sci Rep,Evolution and functional divergence of MADS-box genes in Pyrus,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/30718750,9
"MADS-box transcription factors play crucial roles in regulating development processes and biosynthesis of secondary metabolites in eukaryotes. However, the role of MADS-box transcription factors vary among fungal species, and their function remains unclear in the medicinally and economically important fungus Ganoderma lucidum. In this study, we characterized a MADS-box gene, GlMADS1, in G. lucidum. Analyses using quantitative real-time polymerase chain reaction (qRT-PCR) showed that GlMADS1 expression levels were up-regulated from the mycelia to the primordia stage. In order to further evaluate the effect of MADS-box transcription factors on secondary metabolism, we utilized RNA interference (RNAi) to silence GlMADS1 in G. lucidum. Ganoderic acid (GA) and flavonoid contents were enhanced in GlMADS1-silenced strains, suggesting that GlMADS1 negatively regulates GA and flavonoid accumulation.","Engineering Research Center of Edible and Medicinal Fungi, Ministry of Education, Jilin Agricultural University , Changchun 130118, China.",33085941,"Meng, L. | Zhang, S. | Chen, B. | Bai, X. | Li, Y. | Yang, J. | Wang, W. | Li, C. | Li, Y. | Li, Z.",,,Jan-Feb,Medline,10.1080/00275514.2020.1810515,NLM,20201021,1539,1,Gene Expression,internal-pdf://3516616713/Meng-2021.pdf,,"Meng, Li",2021,,1557-2536 (Electronic),12-19,The MADS-box transcription factor GlMADS1 regulates secondary metabolism in Ganoderma lucidum,Mycologia,The MADS-box transcription factor GlMADS1 regulates secondary metabolism in Ganoderma lucidum,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/33085941,113
"IiSVP of Isatis indigotica was cloned and its expression pattern was analyzed. Ectopic expression of IiSVP in Arabidopsis could delay the flowering time and reduce the size of the floral organs. SVP (SHORT VEGETATIVE PHASE) can negatively regulate the flowering time of Arabidopsis. In the present work, the cDNA of IiSVP, an orthologous gene of AtSVP in I. indigotica, was cloned. IiSVP was highly expressed in rosette leaves, inflorescences and petals, but weakly expressed in sepals, pistils and young silicles. The results of subcellular localization showed that IiSVP was localized in nucleus. Bioinformatics analysis indicated that this protein was a MADS-box transcription factor. Constitutive expression of IiSVP in Arabidopsis thaliana resulted in decrease of the number of petals and stamens, and curly sepals were formed. In IiSVP transgenic Arabidopsis plants, obvious phenotypic variations in flowers could be observed, especially the size of the floral organs. In comparison with the wild-type plants, the size of petals, stamens and pistil in IiSVP transgenic Arabidopsis plants was decreased significantly. In some transgenic plants, the petals were wrapped by the sepals. Yeast two-hybrid experiments showed that IiSVP could form higher-order complexes with other MADS proteins, including IiSEP1, IiSEP3, IiAP1 and IiSEP4, but could not interact with IiSEP2. In this work, it was proved that the flowering process and the floral development in Arabidopsis could be affected by IiSVP from I. indigotica Fortune.","Key Laboratory of Resource Biology and Biotechnology in Western China (Ministry of Education), Shaanxi Provincial Key Laboratory of Biotechnology, College of Life Sciences, Northwest University, Xi'an, Shaanxi, 710069, People's Republic of China.",36609767,"Meng, Q. | Hou, X. F. | Cheng, H. | Tan, X. M. | Pu, Z. Q. | Xu, Z. Q.",,,Mar,Medline,10.1007/s00299-023-02977-z,NLM,20230107,974,3,*Arabidopsis/metabolism,internal-pdf://2408013666/Meng-2023.pdf,,"Meng, Qi",2023,,1432-203X (Electronic),561-574,IiSVP of Isatis indigotica can reduce the size and repress the development of floral organs,Plant Cell Rep,IiSVP of Isatis indigotica can reduce the size and repress the development of floral organs,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/36609767,42
"To understand the molecular mechanisms involved in the transition from vegetative to reproductive growth, the photoperiodic-controlled induction of flowering in the long-day plant Sinapis alba was used to screen for regulatory genes which are expressed upon induction in the apical meristem. By using the conserved MADS box-encoding region of the organ identity gene AGAMOUS, the genes SaMADS A and SaMADS B were identified which are expressed in transition stages of mustard. RNA blot analysis has confirmed that the transcript levels of both genes are drastically increased shortly after the induction of flowering and that both genes are expressed earlier than the known MADS box genes. In situ hybridization studies have shown that the expression of the genes is restricted to the apical meristem of induced plants during early phases of reproductive development. The expression of SaMADS A is first detectable in the central zone of the meristem, a region where the earliest changes of an evoked meristem could be detected by classical physiological methods, suggesting that SaMADS A may have an important function during the transition to flowering.","Swiss Federal Institute of Technology, Institute for Plant Sciences, Zurich, Switzerland.",8919916,"Menzel, G. | Apel, K. | Melzer, S.",,,Mar,Medline,10.1046/j.1365-313x.1996.09030399.x,NLM,,1513,3,Amino Acid Sequence,internal-pdf://3456866951/Menzel-1996.pdf,,"Menzel, G",1996,,0960-7412 (Print),399-408,Identification of two MADS box genes that are expressed in the apical meristem of the long-day plant Sinapis alba in transition to flowering,Plant J,Identification of two MADS box genes that are expressed in the apical meristem of the long-day plant Sinapis alba in transition to flowering,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/8919916,9
"Bletilla striata (Thunb. ex A. Murray) Rchb. f., a species of the perennial herb Orchidaceae, has potent anti-inflammatory and antiviral biological activities. MADS-box transcription factors play critical roles in the various developmental processes of plants. Although this gene family has been extensively investigated in many species, it has not been analyzed for B. striata. In total, 45 MADS-box genes were identified from B. striata in this study, which were classified into five subfamilies (Mdelta, MIKC, Malpha, Mbeta, and Mgamma). Meanwhile, the highly correlated protein domains, motif compositions, and exon-intron structures of BsMADSs were investigated according to local B. striata databases. Chromosome distribution and synteny analyses revealed that segmental duplication and homologous exchange were the main BsMADSs expansion mechanisms. Further, RT-qPCR analysis revealed that BsMADSs had different expression patterns in response to various stress treatments. Our results provide a potential theoretical basis for further investigation of the functions of MADS genes during the growth of B. striata.","National Engineering Laboratory for Resource Development of Endangered Crude Drugs in Northwest China, Key Laboratory of the Ministry of Education for Medicinal Resources and Natural Pharmaceutical Chemistry, College of Life Sciences, Shaanxi Normal University, Xi'an 710119, China.",34685993,"Mi, Z. Y. | Zhao, Q. | Lu, C. | Zhang, Q. | Li, L. | Liu, S. | Wang, S. Q. | Wang, Z. Z. | Niu, J. F.",All authors declare that there are no conflict of interest regarding the publication of this paper.,PMC8539064,Oct 14,PubMed-not-MEDLINE,10.3390/plants10102184,NLM,20211014,1332,10,Bletilla striata,internal-pdf://3041393720/Mi-2021.pdf,,"Mi, Ze-Yuan",2021,,2223-7747 (Print),,Genome-Wide Analysis and the Expression Pattern of the MADS-Box Gene Family in Bletilla striata,Plants (Basel),Genome-Wide Analysis and the Expression Pattern of the MADS-Box Gene Family in Bletilla striata,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/34685993,10
"Apple (Malus × domestica Borkh.) is a perennial woody plant that undergoes a period of dormancy (in cv. Jonathan between late September and mid-December) to survive freezing temperatures of winter. DORMANCY-ASSOCIATED MADS-BOX (DAM) genes play important roles in the regulation of growth cessation and terminal bud formation in peach. To understand the role of DAM orthologs in apple, we isolated and characterized four DAM-like genes (designated as MdDAMa, MdDAMb, MdDAMc, and MdDAMd) and monitored their expression in apical buds throughout the season by real-time quantitative polymerase chain reaction analyses. The transcription of MdDAMa peaked in October and that of MdDAMc was elevated from August to October, whereas MdDAMb and MdDAMd were practically undetectable. The tandemly arranged genes MdDAMa/MdDAMb and MdDAMc/MdDAMd were localized to chromosomes 16 and 8, respectively. Based on these observations, we infer that MdDAMa and MdDAMc acted in a dominant fashion on each locus and were correlated with the period of endodormancy.",,,"Mimida, N. | Saito, T. | Moriguchi, T. | Suzuki, A. | Komori, S. | Wada, M.",,,,,10.1007/s10535-015-0503-4,,,115,2,,internal-pdf://2556582386/Mimida-2015.pdf,,,2015,237,00063134,237-244,Expression of DORMANCY-ASSOCIATED MADS-BOX (DAM)-like genes in apple,Biologia plantarum,Expression of DORMANCY-ASSOCIATED MADS-BOX (DAM)-like genes in apple,JOUR,,59
"Jatropha curcas L. is monoecious with a low female-to-male ratio, which is one of the factors restricting its seed yield. Because the phytohormone cytokinins play an essential role in flower development, particularly pistil development, in this study, we elevated the cytokinin levels in J. curcas flowers through transgenic expression of a cytokinin biosynthetic gene (AtIPT4) from Arabidopsis under the control of a J. curcas orthologue of TOMATO MADS BOX GENE 6 (JcTM6) promoter that is predominantly active in flowers. As expected, the levels of six cytokinin species in the inflorescences were elevated, and flower development was modified without any alterations in vegetative growth. In the transgenic J. curcas plants, the flower number per inflorescence was significantly increased, and most flowers were pistil-predominantly bisexual, i.e., the flowers had a huge pistil surrounded with small stamens. Unfortunately, both the male and the bisexual flowers of transgenic J. curcas were infertile, which might have resulted from the continuously high expression of the transgene during flower development. However, the number and position of floral organs in the transgenic flowers were well defined, which suggested that the determinacy of the floral meristem was not affected. These results suggest that fine-tuning the endogenous cytokinins can increase the flower number and the female-to-male ratio in J. curcas.","School of Life Sciences, University of Science and Technology of China, Hefei 230027, China.",31963715,"Ming, X. | Tao, Y. B. | Fu, Q. | Tang, M. | He, H. | Chen, M. S. | Pan, B. Z. | Xu, Z. F.",The authors declare no conflict of interest.,PMC7013397,Jan 18,Medline,10.3390/ijms21020640,NLM,20200118,1252,2,Arabidopsis/genetics/*metabolism,internal-pdf://3302063874/Ming-2020.pdf,,"Ming, Xin",2020,,1422-0067 (Electronic),,Flower-Specific Overproduction of Cytokinins Altered Flower Development and Sex Expression in the Perennial Woody Plant Jatropha curcas L,Int J Mol Sci,Flower-Specific Overproduction of Cytokinins Altered Flower Development and Sex Expression in the Perennial Woody Plant Jatropha curcas L,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/31963715,21
"The haploid generation of flowering plants develops within the sporophytic tissues of the ovule. After fertilization, the maternal seed coat develops in a coordinated manner with formation of the embryo and endosperm. In the arabidopsis bsister (abs) mutant, the endothelium, which is the most inner cell layer of the integuments that surround the haploid embryo sac, does not accumulate proanthocyanidins and the cells have an abnormal morphology. However, fertility is not affected in abs single mutants. SEEDSTICK regulates ovule identity redundantly with SHATTERPROOF 1 (SHP1) and SHP2 while a role in the control of fertility was not reported previously. Here we describe the characterization of the abs stk double mutant. This double mutant develops very few seeds due to both a reduced number of fertilized ovules and seed abortions later during development. Morphological analysis revealed a total absence of endothelium in this double mutant. Additionally, massive starch accumulation was observed in the embryo sac. The phenotype of the abs stk double mutant highlights the importance of the maternal-derived tissues, particularly the endothelium, for the development of the next generation.","Dipartimento di Biologia, Universita degli Studi di Milano, Via Celoria 26, 20133 Milan, Italy.",22176531,"Mizzotti, C. | Mendes, M. A. | Caporali, E. | Schnittger, A. | Kater, M. M. | Battaglia, R. | Colombo, L.",,,May,Medline,10.1111/j.1365-313X.2011.04878.x,NLM,20120116,1625,3,Arabidopsis/cytology/genetics/growth & development/*physiology,internal-pdf://3333574076/Mizzotti-2012.pdf,,"Mizzotti, Chiara",2012,,1365-313X (Electronic),409-20,The MADS box genes SEEDSTICK and ARABIDOPSIS Bsister play a maternal role in fertilization and seed development,Plant J,The MADS box genes SEEDSTICK and ARABIDOPSIS Bsister play a maternal role in fertilization and seed development,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/22176531,70
"The SHORT VEGETATIVE PHASE (SVP) gene is a transcription factor that integrates flowering signals and plays an important role in the regulation of flowering time in many plants. In this study, two full-length cDNA sequences of SVP homologous genes-MiSVP1 and MiSVP2-were obtained from 'SiJiMi' mango. Sequence analysis showed that the MiSVPs had typical MADS-box domains and were highly conserved between each other. The analysis of expression patterns showed that the MiSVPs were expressed during flower development and highly expressed in vegetative tissues, with low expression in flowers/buds. The MiSVPs could responded to low temperature, NaCl, and PEG treatment. Subcellular localization revealed that MiSVP1 and MiSVP2 were localized in the nucleus. Transformation of Arabidopsis revealed that overexpression of MiSVP1 delayed flowering time, overexpression of MiSVP2 accelerated flowering time, and neither MiSVP1 nor MiSVP2 had an effect on the number of rosette leaves. Overexpression of MiSVP1 increased the expression of AtFLC and decreased the expression of AtFT and AtSOC1, and overexpression of MiSVP2 increased the expression levels of AtSOC1 and AtFT and decreased the expression levels of AtFLC. Point-to-point and bimolecular fluorescence complementation (BiFC) assays showed that MiSVP1 and MiSVP2 could interact with SEP1-1, SOC1D, and AP1-2. These results suggest that MiSVP1 and MiSVP2 may play a significant roles in the flowering process of mango.","State Key Laboratory for Conservation and Utilization of Subtropical Agro-Bioresources, College of Agriculture, Guangxi University, 100 East Daxue Road, Nanning 530004, China.",34575962,"Mo, X. | Luo, C. | Yu, H. | Chen, J. | Liu, Y. | Xie, X. | Fan, Z. | He, X.",The authors declare no conflict of interest.,PMC8471839,Sep 10,Medline,10.3390/ijms22189802,NLM,20210910,1042,18,Arabidopsis/genetics/growth & development,internal-pdf://2690730542/Mo-2021.pdf,,"Mo, Xiao",2021,,1422-0067 (Electronic),,Isolation and Functional Characterization of Two SHORT VEGETATIVE PHASE Homologous Genes from Mango,Int J Mol Sci,Isolation and Functional Characterization of Two SHORT VEGETATIVE PHASE Homologous Genes from Mango,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/34575962,22
"Rice has the natural morphological adaptation to germinate and elongate its coleoptile under submerged flooding conditions. The phenotypic deviation associated with the tolerance to submergence at the germination stage could be due to natural variation. However, the molecular basis of this variation is still largely unknown. A comprehensive understanding of gene regulation of different genotypes that have diverse rates of coleoptile elongation can provide significant insights into improved rice varieties. To do so, publicly available transcriptome data of five rice genotypes, which have different lengths of coleoptile elongation under submergence tolerance, were analyzed. The aim was to identify the correlation between promoter architecture, associated with transcriptional and hormonal regulation, in diverse genotype groups of rice that have different rates of coleoptile elongation. This was achieved by identifying the putative cis-elements present in the promoter sequences of genes upregulated in each group of genotypes (tolerant, highly tolerant, and extremely tolerant genotypes). Promoter analysis identified transcription factors (TFs) that are common and unique to each group of genotypes. The candidate TFs that are common in all genotypes are MYB, bZIP, AP2/ERF, ARF, WRKY, ZnF, MADS-box, NAC, AS2, DOF, E2F, ARR-B, and HSF. However, the highly tolerant genotypes interestingly possess binding sites associated with HY5 (bZIP), GBF3, GBF4 and GBF5 (bZIP), DPBF-3 (bZIP), ABF2, ABI5, bHLH, and BES/BZR, in addition to the common TFs. Besides, the extremely tolerant genotypes possess binding sites associated with bHLH TFs such as BEE2, BIM1, BIM3, BM8 and BAM8, and ABF1, in addition to the TFs identified in the tolerant and highly tolerant genotypes. The transcriptional regulation of these TFs could be linked to phenotypic variation in coleoptile elongation in response to submergence tolerance. Moreover, the results indicate a cross-talk between the key TFs and phytohormones such as gibberellic acid, abscisic acid, ethylene, auxin, jasmonic acid, and brassinosteroids, for an altered transcriptional regulation leading to differences in germination and coleoptile elongation under submergence. The information derived from the current in silico analysis can potentially assist in developing new rice breeding targets for direct seeding.","NUS Environmental Research Institute, National University of Singapore, Singapore, Singapore.",33796132,"Mohanty, B.",The author declares that the research was conducted in the absence of any commercial or financial relationships that could be construed as a potential conflict of interest.,PMC8008075,2021/03/16,PubMed-not-MEDLINE,10.3389/fgene.2021.639654,NLM,20210316,1795,,germination and coleoptile elongation,internal-pdf://2643543676/Mohanty-2021.pdf,,"Mohanty, Bijayalaxmi",2021,,1664-8021 (Print),639654,Promoter Architecture and Transcriptional Regulation of Genes Upregulated in Germination and Coleoptile Elongation of Diverse Rice Genotypes Tolerant to Submergence,Front Genet,Promoter Architecture and Transcriptional Regulation of Genes Upregulated in Germination and Coleoptile Elongation of Diverse Rice Genotypes Tolerant to Submergence,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/33796132,12
"Fruit set is the earliest phase of fruit growth and represents the onset of ovary growth after successful fertilization. In parthenocarpy, fruit formation is less affected by environmental factors because it occurs in the absence of pollination and fertilization, making parthenocarpy a highly desired agronomic trait. Elucidating the genetic program controlling parthenocarpy, and more generally fruit set, may have important implications in agriculture, considering the need for crops to be adaptable to climate changes. Several phytohormones play an important role in the transition from flower to fruit. Further complexity emerges from functional analysis of floral homeotic genes. Some homeotic MADS-box genes are implicated in fruit growth and development, displaying an expression pattern commonly observed for ovary growth repressors. Here, we provide an overview of recent discoveries on the molecular regulatory gene network underlying fruit set in tomato, the model organism for fleshy fruit development due to the many genetic and genomic resources available. We describe how the genetic modification of components of this network can cause parthenocarpy, discussing the contribution of hormonal signals and MADS-box transcription factors.","Department of Biotechnology, University of Verona, Strada Le Grazie, 15, 37134 Verona, Italy.",33265980,"Molesini, B. | Dusi, V. | Pennisi, F. | Pandolfini, T.",The authors declare no conflict of interest.,PMC7760363,Nov 30,Medline,10.3390/genes11121441,NLM,20201130,394,12,Flowers/genetics,internal-pdf://1134040403/Molesini-2020.pdf,,"Molesini, Barbara",2020,,2073-4425 (Electronic),,How Hormones and MADS-Box Transcription Factors Are Involved in Controlling Fruit Set and Parthenocarpy in Tomato,Genes (Basel),How Hormones and MADS-Box Transcription Factors Are Involved in Controlling Fruit Set and Parthenocarpy in Tomato,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/33265980,11
"The diverse morphology of orchid flowers and their complex, often deceptive strategies to become pollinated have fascinated researchers for a long time. However, it was not until the 20th century that the ontogeny of orchid (orchids) flowers, the genetic basis of their morphology and the complex phylogeny of Orchidaceae were investigated. In parallel, the improvement of techniques for in vitro seed germination and tissue culture, together with studies on biochemistry, physiology, and cytology supported the progress of what is now a highly productive industry of orchid breeding and propagation. In the present century both basic research in orchid flower evo-devo and the interest for generating novel horticultural varieties have driven the characterization of many members of the MADS-box family encoding key regulators of flower development. This perspective summarizes the picture emerging from these studies and discusses the advantages and limitations of the comparative strategy employed so far. I address the growing role of natural and horticultural mutants in these studies and the emergence of several model species in orchid evo-devo and genomics. In this context, I make a plea for an increasingly integrative approach.","Department of Cell Biology and Plant Biochemistry, Faculty of Biology and Preclinical Medicine, University of Regensburg , Regensburg, Germany.",24065980,"Mondragon-Palomino, M.",,PMC3779858,,PubMed-not-MEDLINE,10.3389/fpls.2013.00377,NLM,20130923,189,,MADS-box gene,internal-pdf://0428674782/Mondragon-Palomino-2013.pdf,,"Mondragon-Palomino, Mariana",2013,,1664-462X (Print),377,Perspectives on MADS-box expression during orchid flower evolution and development,Front Plant Sci,Perspectives on MADS-box expression during orchid flower evolution and development,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/24065980,4
"In flowering plants, class-B floral homeotic genes encode MADS-domain transcription factors, which are key in the specification of petal and stamen identity, and have two ancient clades: DEF-like and GLO-like genes. Many species have one gene of each clade, but orchids have typically four DEF-like genes, representing ancient gene clades 1, 2, 3 and 4. We tested the 'orchid code', a combinatorial genetic model suggesting that differences between the organs of the orchid perianth (outer tepals, inner lateral tepals and labellum) are generated by the combinatorial differential expression of four DEF-like genes. Our experimental test involves highly sensitive and specific measurements, with qRT-PCR of the expression of DEF- and GLO-like genes from the distantly related Vanilla planifolia and Phragmipedium longifolium, as well as from wild-type and peloric Phalaenopsis hybrid flowers. Our findings support the first 'orchid code' hypothesis, in that absence of clade-3 and -4 gene expression distinguishes the outer tepals from the inner tepals. In contrast to the original hypothesis, however, mRNA of both clade-3 and -4 genes accumulates in wild-type inner lateral tepals and the labellum, and in labellum-like inner lateral tepals of peloric flowers, albeit in different quantities. Our data suggest a revised hypothesis where high levels of clade-1 and -2, and low levels of clade-3 and -4, gene expression specify inner lateral tepals, whereas labellum development requires low levels of clade-1 and -2 expression and high levels of clade-3 and -4 expression.","Department of Genetics, Friedrich Schiller University Jena, Philosophenweg 12, 07743 Jena, Germany. mariana.mondragon@biologie.uni-regensburg.de",21435045,"Mondragon-Palomino, M. | Theissen, G.",,,Jun,Medline,10.1111/j.1365-313X.2011.04560.x,NLM,20110412,1619,6,Amino Acid Sequence,internal-pdf://1566288819/Mariana-2011.pdf,,"Mondragon-Palomino, Mariana",2011,,1365-313X (Electronic),1008-19,Conserved differential expression of paralogous DEFICIENS- and GLOBOSA-like MADS-box genes in the flowers of Orchidaceae: refining the 'orchid code',Plant J,Conserved differential expression of paralogous DEFICIENS- and GLOBOSA-like MADS-box genes in the flowers of Orchidaceae: refining the 'orchid code',JOUR,https://www.ncbi.nlm.nih.gov/pubmed/21435045,66
"In Catharanthus roseus, monomeric terpenoid indole alkaloids (TIAs) are biosynthesized in specific tissues, particularly in roots, but failed to be produced by in vitro undifferentiated suspension cells. In this paper, we describe the impact of the root-specific MADS-box transcription factor Agamous-like 12 (Agl12) from Arabidopsis thaliana on the differentiation of suspension cells from C. roseus. The expression of Agl12 is sufficient to promote an organization of suspension cells into globular parenchyma-like aggregates but is insufficient by itself to induce complete morphological root differentiation. Agl12 expression selectively increases the expression of genes encoding enzymes involved in the early biosynthesis steps of the terpenic precursor of alkaloids. The transgenic cell lines expressing Agl12 produced significant amounts of ajmalicine, an antihypertensive TIA that normally accumulates in C. roseus roots. The present paper indicates that transcription factors involved in tissue or organ differentiation may constitute new metabolic engineering tools that could help to design in vitro cultured cells able to produce specific valuable secondary metabolites.","Universite de Tours Unite sous Contrat reconnue par l'Institut National de la Recherche Agronomique, Facteurs de Transcription et Ingenierie Metabolique Vegetale, UFR des Sciences et Techniques et UFR des Sciences Pharmaceutiques, Tours, France.",17157545,"Montiel, G. | Breton, C. | Thiersault, M. | Burlat, V. | Jay-Allemand, C. | Gantet, P.",,,Mar,Medline,10.1016/j.ymben.2006.10.001,NLM,20061021,646,2,"AGAMOUS Protein, Arabidopsis/genetics/*metabolism",internal-pdf://3571371451/Montiel-2007.pdf,,"Montiel, Gregory",2007,,1096-7176 (Print),125-32,Transcription factor Agamous-like 12 from Arabidopsis promotes tissue-like organization and alkaloid biosynthesis in Catharanthus roseus suspension cells,Metab Eng,Transcription factor Agamous-like 12 from Arabidopsis promotes tissue-like organization and alkaloid biosynthesis in Catharanthus roseus suspension cells,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/17157545,9
"Until recently, the roles of plant MADS-box genes have mainly been characterized during inflorescence and flower differentiation. In order to precise the roles of AGAMOUS-LIKE 12, one of the few MADS-box genes preferentially expressed in roots, we placed its cDNA under the control of the double 35S CaMV promoter to produce transgenic walnut tree and Arabidopsis plants. In Juglans sp., transgenic somatic embryos showed significantly higher germination rates but abnormal development of their shoot apex prevented their conversion into plants. In addition, a wide range of developmental abnormalities corresponding to ectopic root-like structures affected the transgenic lines suggesting partial reorientations of the embryonic program toward root differentiation. In Arabidopsis, AtAGL12 overexpression lead to the production of faster growing plants presenting dramatically wider and shorter root phenotypes linked to increased meristematic cell numbers within the root apex. In the upper part of the roots, abnormal cell divisions patterns within the pericycle layer generated large ectopic cell masses that did not prevent plants to grow. Taken together, our results confirm in both species that AGL12 positively regulates root meristem cell division and promotes overall root vascular tissue formation. Genetic engineering of AGL12 expression levels could be useful to modulate root architecture and development.","INRAE Val de Loire-Orleans, UMR 0588 BioForA INRAE-ONF, 2163 avenue de la pomme de pin, CS 40001 Ardon, CEDEX 02, 45075 Orleans, France.",32252382,"Montiel, G. | Gaudet, M. | Laurans, F. | Rozenberg, P. | Simon, M. | Gantet, P. | Jay-Allemand, C. | Breton, C.",The authors declare no conflict of interest.,PMC7238194,Apr 2,PubMed-not-MEDLINE,10.3390/plants9040444,NLM,20200402,1329,4,cell differentiation,internal-pdf://1015398163/Montiel-2020.pdf,,"Montiel, Gregory",2020,,2223-7747 (Print),,Overexpression of MADS-box Gene AGAMOUS-LIKE 12 Activates Root Development in Juglans sp. and Arabidopsis thaliana,Plants (Basel),Overexpression of MADS-box Gene AGAMOUS-LIKE 12 Activates Root Development in Juglans sp. and Arabidopsis thaliana,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/32252382,9
